"village","villcode","panchyat","panchcode","block","blockcode","district","distcode","State","statecode","cpcode"
"Charopadi Moti",101,"Charopadi Moti",2,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Mohadi",102,"Charopadi Moti",2,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sukhpar( Saindh)",103,"Chhasara",3,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Rampar(Abda)",104,"Rampar(Abda)",10,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Laiyari",105,"Rampar(Abda)",10,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kervandh",106,"Kervandh",7,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Ashapar",107,"Ashapar",1,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Vadsar",108,"Chhasara",3,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sujapar",109,"Sujapar",13,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"KalaTalav",110,"KalaTalav",5,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Mokarashi Vandh",111,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Bhadra Vandh",112,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Meman Vandh",113,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Piyoni",114,"Kandhay",6,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kandhay",115,"Kandhay",6,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Lala",116,"Lala",8,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kaduli",117,"Rapar gadh",11,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sayara",118,"Sayara",12,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Vanku",119,"Vanku",14,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kukadau",120,"Jakho",4,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
